customer_id,DistinctItems,DistinctLocations,NetSpend,DistinctCity,DistinctState,customer_contact_acquisition_date,household_has_dillards_credit_card,unsubscribed_yn,total_email_sent_count,total_email_open_count,total_email_click_count,product_email_sent_count,product_email_open_count,product_email_click_count,sale_email_sent_count,sale_email_open_count,sale_email_click_count,last_email_open_date,last_email_click_date
220967377,7,1,183.66,1,1,1/11/2017,N,Y,36,2,0,29,2,0,2,0,0,6/29/2018,NULL
150616466,13,1,182.38,1,1,3/31/2004,N,Y,33,0,0,29,0,0,2,0,0,NULL,NULL
225892013,3,1,177,1,1,5/8/2018,N,Y,37,1,1,29,1,1,2,0,0,5/16/2018,5/16/2018
216228334,4,1,162.85,1,1,12/24/2015,N,Y,31,6,0,29,6,0,2,0,0,6/13/2018,NULL
225100402,2,1,135,1,1,2/17/2018,N,Y,32,0,0,29,0,0,2,0,0,NULL,NULL
225616459,1,1,114,1,1,4/11/2018,N,N,33,0,0,29,0,0,2,0,0,NULL,NULL
195560516,1,1,110,1,1,1/19/2012,N,Y,33,2,2,29,1,1,2,0,0,6/26/2018,6/26/2018
224179388,4,1,104.79,1,1,12/3/2017,N,N,33,0,0,29,0,0,2,0,0,NULL,NULL
225748059,3,1,89,1,1,4/23/2018,N,Y,37,5,0,29,4,0,2,1,0,6/28/2018,NULL
225933710,4,1,88.7,1,1,5/11/2018,N,Y,32,0,0,29,0,0,2,0,0,NULL,NULL
204303805,3,1,86.85,1,1,9/12/2013,N,Y,32,4,0,29,4,0,2,0,0,6/20/2018,NULL
223686757,3,1,86,1,1,10/19/2017,N,N,31,0,0,29,0,0,2,0,0,NULL,NULL
225746208,3,2,82,2,1,4/23/2018,N,Y,32,0,0,29,0,0,2,0,0,NULL,NULL
225625243,2,1,64,1,1,4/13/2018,N,Y,32,9,0,29,8,0,2,0,0,6/26/2018,NULL
134945503,2,1,60,1,1,5/10/2007,N,Y,35,0,0,29,0,0,2,0,0,NULL,NULL
225767978,1,1,41.65,1,1,4/25/2018,N,Y,32,1,0,29,1,0,2,0,0,5/23/2018,NULL
153699231,1,1,28.8,1,1,6/29/2006,N,Y,36,20,0,29,17,0,2,0,0,6/20/2018,NULL
194759198,7,2,567,2,2,10/20/2011,N,Y,42,35,16,30,24,12,2,2,2,6/30/2018,6/30/2018
226011990,18,1,536.7,1,1,5/18/2018,N,Y,34,0,0,30,0,0,2,0,0,NULL,NULL
225881666,5,1,515,1,1,5/8/2018,N,Y,34,0,0,30,0,0,2,0,0,NULL,NULL
225979861,13,1,427.34,1,1,5/17/2018,N,Y,37,0,0,30,0,0,2,0,0,NULL,NULL
225955691,2,1,338,1,1,5/14/2018,N,Y,35,13,0,30,10,0,2,2,0,7/2/2018,NULL
204235901,12,2,294.9,2,2,9/8/2013,N,N,37,1,1,30,1,1,2,0,0,5/27/2018,5/27/2018
211018718,2,1,240,1,1,12/1/2014,N,Y,33,0,0,30,0,0,2,0,0,NULL,NULL
213342409,7,1,228,1,1,5/16/2015,N,Y,37,12,0,30,10,0,2,1,0,6/30/2018,NULL
205172417,1,1,188,1,1,11/22/2013,N,Y,34,6,2,30,6,2,2,0,0,6/26/2018,6/9/2018
224676361,22,1,185.46,1,1,1/2/2018,N,N,32,0,0,30,0,0,2,0,0,NULL,NULL
223850916,5,1,159.48,1,1,11/6/2017,N,Y,34,0,0,30,0,0,2,0,0,NULL,NULL
125876969,4,1,155.97,1,1,10/24/1997,N,Y,37,23,0,30,18,0,2,2,0,7/1/2018,NULL
224621248,2,1,140.99,1,1,12/30/2017,N,Y,32,0,0,30,0,0,2,0,0,NULL,NULL
210103338,2,1,127.5,1,1,10/10/2014,N,Y,32,1,0,30,1,0,2,0,0,6/11/2018,NULL
214671291,1,1,116.76,1,1,9/8/2015,N,Y,33,2,0,30,2,0,2,0,0,6/30/2018,NULL
224316349,2,1,78,1,1,12/13/2017,N,N,32,0,0,30,0,0,2,0,0,NULL,NULL
225586620,4,1,77,1,1,4/7/2018,N,Y,33,0,0,30,0,0,2,0,0,NULL,NULL
213702106,1,1,75,1,1,6/19/2015,N,N,35,11,3,30,10,3,2,1,0,6/30/2018,5/24/2018
